"ship-country","ship-service-level","total_sales","shipped_but_not_fulfilled","shipped_and_fulfilled","fulfilled_but_cancelled","cancelled_and_not_fulfilled"
AU,Expedited,39384,,25802,4,1338
AU,Standard,17916,,25802,4,1338
BR,Expedited,78800,,51388,332,2744
BR,Standard,36272,,51388,332,2744
DK,Expedited,39264,,25822,,1332
DK,Standard,18036,,25822,,1332
FR,Expedited,39404,,25818,,1320
FR,Standard,17896,,25818,,1320
GE,Expedited,39672,,25792,,1320
GE,Standard,17616,,25792,,1320
JP,Expedited,39120,,25802,,1318
JP,Standard,18164,,25802,,1318
PT,Expedited,39708,,25796,,1324
PT,Standard,17584,,25796,,1324
UK,Expedited,39380,,25794,,1328
UK,Standard,17912,,25794,,1328
US,Expedited,39128,,25806,8,1318
US,Standard,18180,,25806,8,1318
